date,dolar
1994-01-27,0.1609
1994-01-28,0.1637
1994-01-31,0.1668
1994-02-01,0.17
1994-02-02,0.1732
1994-02-03,0.1765
1994-02-04,0.1798
1994-02-07,0.1832
1994-02-08,0.1866
1994-02-09,0.1902
1994-02-10,0.1937
1994-02-11,0.1973
1994-02-14,0.1973
1994-02-15,0.1973
1994-02-16,0.1973
1994-02-17,0.2085
1994-02-18,0.2124
1994-02-21,0.2124
1994-02-22,0.2162
1994-02-23,0.2201
1994-02-24,0.2242
1994-02-25,0.2283
1994-02-28,0.2317
1994-03-01,0.2354
1994-03-02,0.2391
1994-03-03,0.2427
1994-03-04,0.2465
1994-03-07,0.2503
1994-03-08,0.2542
1994-03-09,0.2581
1994-03-10,0.2621
1994-03-11,0.2662
1994-03-14,0.2704
1994-03-15,0.2747
1994-03-16,0.2791
1994-03-17,0.2835
1994-03-18,0.288
1994-03-21,0.2929
1994-03-22,0.2981
1994-03-23,0.3034
1994-03-24,0.3087
1994-03-25,0.3142
1994-03-28,0.3198
1994-03-29,0.3254
1994-03-30,0.3321
1994-03-31,0.3321
1994-04-01,0.3321
1994-04-04,0.3385
1994-04-05,0.345
1994-04-06,0.3516
1994-04-07,0.3584
1994-04-08,0.3653
1994-04-11,0.3723
1994-04-12,0.3795
1994-04-13,0.3868
1994-04-14,0.3942
1994-04-15,0.4018
1994-04-18,0.4095
1994-04-19,0.4173
1994-04-20,0.4253
1994-04-21,0.4253
1994-04-22,0.4334
1994-04-25,0.4414
1994-04-26,0.4494
1994-04-27,0.4575
1994-04-28,0.4653
1994-04-29,0.4736
1994-05-02,0.4813
1994-05-03,0.4891
1994-05-04,0.4971
1994-05-05,0.5053
1994-05-06,0.5136
1994-05-09,0.522
1994-05-10,0.5307
1994-05-11,0.5396
1994-05-12,0.5487
1994-05-13,0.5579
1994-05-16,0.5673
1994-05-17,0.5769
1994-05-18,0.5866
1994-05-19,0.5965
1994-05-20,0.6066
1994-05-23,0.6168
1994-05-24,0.6272
1994-05-25,0.6378
1994-05-26,0.6595
1994-05-27,0.6706
1994-05-30,0.6705
1994-05-31,0.6819
1994-06-01,0.6939
1994-06-02,0.6939
1994-06-03,0.706
1994-06-06,0.7184
1994-06-07,0.7309
1994-06-08,0.7439
1994-06-09,0.7571
1994-06-10,0.7706
1994-06-13,0.7844
1994-06-14,0.7985
1994-06-15,0.8129
1994-06-16,0.8278
1994-06-17,0.843
1994-06-20,0.8586
1994-06-21,0.8748
1994-06-22,0.8916
1994-06-23,0.9087
1994-06-24,0.9261
1994-06-27,0.9441
1994-06-28,0.9625
1994-06-29,0.9625
1994-06-30,0.9625
1994-07-01,0.9625
1994-07-04,0.9375
1994-07-05,0.9275
1994-07-06,0.9125
1994-07-07,0.909
1994-07-08,0.9175
1994-07-11,0.9225
1994-07-12,0.9175
1994-07-13,0.9185
1994-07-14,0.923
1994-07-15,0.931
1994-07-18,0.9325
1994-07-19,0.9325
1994-07-20,0.9275
1994-07-21,0.932
1994-07-22,0.9355
1994-07-25,0.933
1994-07-26,0.933
1994-07-27,0.936
1994-07-28,0.939
1994-07-29,0.9365
1994-08-01,0.927
1994-08-02,0.917
1994-08-03,0.91
1994-08-04,0.91
1994-08-05,0.911
1994-08-08,0.899
1994-08-09,0.894
1994-08-10,0.898
1994-08-11,0.898
1994-08-12,0.903
1994-08-15,0.895
1994-08-16,0.896
1994-08-17,0.898
1994-08-18,0.895
1994-08-19,0.892
1994-08-22,0.884
1994-08-23,0.885
1994-08-24,0.886
1994-08-25,0.887
1994-08-26,0.893
1994-08-29,0.889
1994-08-30,0.888
1994-08-31,0.886
1994-09-01,0.884
1994-09-02,0.885
1994-09-05,0.891
1994-09-06,0.884
1994-09-07,0.884
1994-09-08,0.876
1994-09-09,0.863
1994-09-12,0.853
1994-09-13,0.857
1994-09-14,0.856
1994-09-15,0.857
1994-09-16,0.855
1994-09-19,0.853
1994-09-20,0.857
1994-09-21,0.854
1994-09-22,0.854
1994-09-23,0.858
1994-09-26,0.869
1994-09-27,0.865
1994-09-28,0.861
1994-09-29,0.855
1994-09-30,0.853
1994-10-03,0.853
1994-10-04,0.846
1994-10-05,0.844
1994-10-06,0.844
1994-10-07,0.8415
1994-10-10,0.833
1994-10-11,0.837
1994-10-12,0.837
1994-10-13,0.8295
1994-10-14,0.824
1994-10-17,0.8435
1994-10-18,0.846
1994-10-19,0.859
1994-10-20,0.849
1994-10-21,0.853
1994-10-24,0.851
1994-10-25,0.8535
1994-10-26,0.853
1994-10-27,0.8495
1994-10-28,0.8475
1994-10-31,0.8445
1994-11-01,0.8435
1994-11-02,0.8435
1994-11-03,0.8445
1994-11-04,0.841
1994-11-07,0.836
1994-11-08,0.83
1994-11-09,0.829
1994-11-10,0.84
1994-11-11,0.836
1994-11-14,0.834
1994-11-15,0.834
1994-11-16,0.831
1994-11-17,0.8335
1994-11-18,0.8335
1994-11-21,0.833
1994-11-22,0.838
1994-11-23,0.852
1994-11-24,0.852
1994-11-25,0.864
1994-11-28,0.856
1994-11-29,0.848
1994-11-30,0.8485
1994-12-01,0.854
1994-12-02,0.856
1994-12-05,0.8485
1994-12-06,0.846
1994-12-07,0.8435
1994-12-08,0.847
1994-12-09,0.845
1994-12-12,0.8415
1994-12-13,0.8425
1994-12-14,0.847
1994-12-15,0.848
1994-12-16,0.849
1994-12-19,0.848
1994-12-20,0.854
1994-12-21,0.857
1994-12-22,0.8595
1994-12-23,0.852
1994-12-26,0.851
1994-12-27,0.8545
1994-12-28,0.8505
1994-12-29,0.847
1994-12-30,0.847
1995-01-02,0.842
1995-01-03,0.844
1995-01-04,0.8445
1995-01-05,0.8395
1995-01-06,0.842
1995-01-09,0.8445
1995-01-10,0.849
1995-01-11,0.849
1995-01-12,0.844
1995-01-13,0.846
1995-01-16,0.8465
1995-01-17,0.8435
1995-01-18,0.8455
1995-01-19,0.848
1995-01-20,0.8485
1995-01-23,0.8505
1995-01-24,0.85
1995-01-25,0.849
1995-01-26,0.8435
1995-01-27,0.8445
1995-01-30,0.843
1995-01-31,0.8405
1995-02-01,0.8405
1995-02-02,0.8385
1995-02-03,0.8385
1995-02-06,0.8355
